method,params,val_accuracy,test_accuracy
RandomForest,{'n_estimators': 50},0.7385656840339051,0.7196873352151121
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 200}",0.7019990164029276,0.6773783305933807
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 200}",0.7356727514681634,0.6766028722975278
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 200}",0.7027222495443631,0.690002791649865
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 200}",0.6760494112882228,0.6714848475448989
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 200}",0.7026933202187057,0.6843264369242221
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 200}",0.6919605403998033,0.6753621390241632
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.01, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 50}",0.7284404200538085,0.7160271720586866
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.01, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 50}",0.715219718228368,0.6869009584664536
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.01, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 50}",0.7297711690340498,0.672043177517913
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50}",0.7181126507941099,0.6861255001706008
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50}",0.6786530505973905,0.6288656596048264
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50}",0.6522116469465096,0.6672973727472936
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0005, 'dropout_prob': 0.5, 'n_epochs': 50, 'batch_size': 200}",0.705615182110105,0.7119327522565837
