method,params,val_accuracy,test_accuracy
RandomForest,{'n_estimators': 50},0.7385656840339051,0.7196873352151121
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.01, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.6286053172100557,0.5579267347002077
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.01, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.4947782567188359,0.4559694779614752
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.01, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.7412271819943878,0.6418003039796519
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': False}",0.6866086151531807,0.6931046248332764
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': False}",0.7027222495443631,0.7307608796798908
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 200, 'weight_positives': False}",0.7387681893135071,0.6917708365644095
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.01, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': True}",0.4995226661266526,0.4664846924532398
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.01, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': True}",0.4995226661266526,0.4664846924532398
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.01, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': True}",0.5082014638238782,0.47734110859517964
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': True}",0.6223276535423958,0.571574800707218
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': True}",0.7101570862383196,0.674493625732808
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': True}",0.7101570862383196,0.6964235863395267
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.5, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': False}",0.7125292909422279,0.6471354570551195
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.5, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': False}",0.7226545549223248,0.6533391234219423
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.5, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': False}",0.7219313217808893,0.665188126182574
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': True}",0.5060317643995718,0.475790192003474
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': True}",0.7226545549223246,0.6659635844784267
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': True}",0.49622472300170684,0.4841031049350165
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.0005, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': True}",0.6625394162062082,0.6610937063804708
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.0005, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': True}",0.6933202187057019,0.6830236669871894
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.0005, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': True}",0.7166661845112391,0.6971990446353795
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': False}",0.7617959325368125,0.6850088402245726
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': False}",0.6499262302195735,0.6308508328422097
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 200, 'weight_positives': False}",0.7373217230306361,0.6809144204224696
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': False}",0.7183151560737119,0.6760445423245138
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': False}",0.7351520236063297,0.7247743416359068
NeuralNet,"{'n_hidden': 200, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': False}",0.6605722220615037,0.6141319519836222
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.6688170798738681,0.6260740097397561
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.7020858043798999,0.6648469245323986
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.6450661035091271,0.5897515431620087
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.54685104290219,0.6123639070690778
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.6939277345445077,0.6382642141505629
